id,cluster
124,0
125,1
126,0
128,1
129,1
131,1
133,0
134,0
135,0
136,0
138,1
140,0
141,0
142,0
143,0
144,1
145,0
146,1
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,0
156,1
159,0
160,0
161,1
163,1
167,1
168,1
169,0
170,0
171,0
173,1
174,1
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
189,1
190,1
191,1
192,0
193,1
198,1
199,0
201,0
203,1
206,1
208,1
209,1
211,1
215,0
216,0
217,1
219,1
221,0
222,0
223,0
224,0
225,0
226,0
228,1
229,0
230,0
232,0
233,1
234,1
235,0
237,1
238,0
